date	count	uniques
2023-05-22	40	9
2023-05-23	25	18
2023-05-24	37	18
2023-05-25	18	14
2023-05-26	26	21
2023-05-27	7	6
2023-05-28	6	3
2023-05-29	7	7
2023-05-30	34	17
2023-05-31	17	17
2023-06-01	38	21
2023-06-02	22	18
2023-06-03	9	5
2023-06-04	6	3
2023-06-05	8	8
2023-06-06	11	9
2023-06-07	39	25
2023-06-08	59	23
2023-06-09	25	21
2023-06-10	29	9
2023-06-11	12	8
2023-06-12	22	14
2023-06-13	25	23
2023-06-14	20	17
2023-06-15	21	16
2023-06-16	35	27
2023-06-17	7	5
2023-06-18	6	6
2023-06-19	16	14
2023-06-20	48	22
2023-06-21	41	25
2023-06-22	44	17
2023-06-23	20	13
2023-06-24	9	9
2023-06-25	33	12
2023-06-26	22	16
2023-06-27	32	19
2023-06-28	32	19
2023-06-29	27	16
2023-06-30	14	14
2023-07-01	12	8
2023-07-02	19	8
2023-07-03	16	11
2023-07-04	39	19
2023-07-05	41	27
2023-07-06	21	17
2023-07-07	25	19
2023-07-08	8	7
2023-07-09	8	6
2023-07-10	20	8
2023-07-11	45	22
2023-07-12	33	16
2023-07-13	24	19
2023-07-14	23	11
2023-07-15	18	11
2023-07-16	13	11
2023-07-17	36	13
2023-07-18	21	16
2023-07-19	28	16
2023-07-20	29	16
2023-07-21	56	18
2023-07-22	6	2
2023-07-23	10	6
2023-07-24	9	5
2023-07-25	38	18
2023-07-26	28	20
2023-07-27	50	22
2023-07-28	8	8
2023-07-29	2	2
2023-07-30	15	8
2023-07-31	21	13
2023-08-01	63	21
2023-08-02	30	20
2023-08-03	27	13
2023-08-04	11	8
2023-08-05	6	3
2023-08-06	14	7
2023-08-07	11	9
2023-08-08	33	15
2023-08-09	30	19
2023-08-10	29	17
2023-08-11	14	13
2023-08-12	7	6
2023-08-13	9	7
2023-08-14	30	16
2023-08-15	42	18
2023-08-16	31	17
2023-08-17	28	21
2023-08-18	44	18
2023-08-19	3	2
2023-08-20	15	6
2023-08-21	57	9
2023-08-22	98	12
2023-08-23	91	34
2023-08-24	24	17
2023-08-25	14	9
2023-08-26	8	5
2023-08-27	8	5
2023-08-28	31	14
2023-08-29	25	18
2023-08-30	43	18
2023-08-31	29	15
2023-09-01	26	15
2023-09-02	21	6
2023-09-03	7	7
2023-09-04	8	6
2023-09-05	23	21
2023-09-06	50	17
2023-09-07	50	19
2023-09-08	23	18
2023-09-09	6	3
2023-09-10	6	6
2023-09-11	27	17
2023-09-12	26	20
2023-09-13	24	21
2023-09-14	80	16
2023-09-15	42	19
2023-09-16	11	9
2023-09-17	12	9
2023-09-18	11	8
2023-09-19	24	18
2023-09-20	19	11
2023-09-21	24	18
2023-09-22	20	16
2023-09-23	9	8
2023-09-24	7	7
2023-09-25	42	16
2023-09-26	18	12
2023-09-27	22	15
2023-09-28	30	21
2023-09-29	36	19
2023-09-30	25	6
2023-10-01	14	9
2023-10-02	43	18
2023-10-03	23	12
2023-10-04	36	18
2023-10-05	33	22
2023-10-06	55	6
2023-10-07	3	2
2023-10-08	18	8
2023-10-09	12	8
2023-10-10	22	21
2023-10-11	69	23
2023-10-12	52	21
2023-10-13	24	15
2023-10-14	13	8
2023-10-15	24	12
2023-10-16	17	12
2023-10-17	36	21
2023-10-18	62	25
2023-10-19	16	12
2023-10-20	34	17
2023-10-21	10	8
2023-10-22	11	8
2023-10-23	21	11
2023-10-24	18	16
2023-10-25	59	25
2023-10-26	32	23
2023-10-27	24	20
2023-10-28	4	4
2023-10-29	5	5
2023-10-30	22	9
2023-10-31	41	19
2023-11-01	74	24
2023-11-02	25	16
2023-11-03	16	12
2023-11-04	16	13
2023-11-05	5	5
2023-11-06	25	13
2023-11-07	49	18
2023-11-08	30	14
2023-11-09	29	19
2023-11-10	23	19
2023-11-11	5	5
2023-11-12	7	6
2023-11-13	32	13
2023-11-14	38	27
2023-11-15	18	13
2023-11-16	19	13
2023-11-17	21	11
2023-11-18	3	3
2023-11-19	21	8
2023-11-20	20	15
2023-11-21	19	13
2023-11-22	21	10
2023-11-23	12	11
2023-11-24	16	10
2023-11-25	12	7
2023-11-26	4	4
2023-11-27	56	16
2023-11-28	29	16
2023-11-29	46	26
2023-11-30	64	14
2023-12-01	46	21
2023-12-02	37	7
2023-12-03	70	6
2023-12-04	14	13
2023-12-05	12	11
2023-12-06	20	15
2023-12-07	19	17
2023-12-08	19	13
2023-12-09	4	4
2023-12-10	18	9
2023-12-11	4	4
